Agent,Game,Win,Score,Time
damorin.Agent,beltmanager.txt,-100.0,-1000.0,306.0
damorin.Agent,beltmanager.txt,-100.0,-1000.0,11.0
damorin.Agent,beltmanager.txt,-100.0,-1000.0,32.0
damorin.Agent,beltmanager.txt,-100.0,-1000.0,12.0
